Project_ID,Project_Type,State,District,LWE_Flag,Vendor_Tier,Vendor_Name,Land_Type,Task_Name,Task_Category,Task_Sequence,Planned_Start_Date,Planned_Duration,Actual_Duration,Delay_Reason,Monsoon_Flag
PROJ_1000,NHM - Community Health Centre (CHC),Jharkhand,Pakur,0,2,NCC / Nagarjuna,Govt Land,Site Survey,Technical,1,2024-07-28,15,21,None,1
PROJ_1000,NHM - Community Health Centre (CHC),Jharkhand,Pakur,0,2,NCC / Nagarjuna,Govt Land,Civil Works,Civil,2,2024-08-23,90,128,None,1
PROJ_1000,NHM - Community Health Centre (CHC),Jharkhand,Pakur,0,2,NCC / Nagarjuna,Govt Land,Equipment Install,Technical,3,2025-01-03,45,58,None,0
PROJ_1000,NHM - Community Health Centre (CHC),Jharkhand,Pakur,0,2,NCC / Nagarjuna,Govt Land,Handover,Admin,4,2025-03-06,15,19,None,0
PROJ_1001,NHM - Primary Health Centre (PHC) 24x7,Jharkhand,Palamu,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Site Survey,Technical,1,2024-02-24,15,27,None,0
PROJ_1001,NHM - Primary Health Centre (PHC) 24x7,Jharkhand,Palamu,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Civil Works,Civil,2,2024-03-26,90,196,None,0
PROJ_1001,NHM - Primary Health Centre (PHC) 24x7,Jharkhand,Palamu,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Equipment Install,Technical,3,2024-10-09,45,81,None,0
PROJ_1001,NHM - Primary Health Centre (PHC) 24x7,Jharkhand,Palamu,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Handover,Admin,4,2025-01-03,15,32,None,0
PROJ_1002,NHM - District Hospital Expansion,Jharkhand,Dhanbad,0,2,NCC / Nagarjuna,Govt Land,Site Survey,Technical,1,2024-11-22,15,19,None,0
PROJ_1002,NHM - District Hospital Expansion,Jharkhand,Dhanbad,0,2,NCC / Nagarjuna,Govt Land,Civil Works,Civil,2,2024-12-16,90,117,None,0
PROJ_1002,NHM - District Hospital Expansion,Jharkhand,Dhanbad,0,2,NCC / Nagarjuna,Govt Land,Equipment Install,Technical,3,2025-04-15,45,58,None,0
PROJ_1002,NHM - District Hospital Expansion,Jharkhand,Dhanbad,0,2,NCC / Nagarjuna,Govt Land,Handover,Admin,4,2025-06-14,15,21,None,1
PROJ_1003,Mega_Event_Kumbh,Uttarakhand,Haridwar,0,3,Local Contractor,Donated,Master Planning,Technical,1,2024-07-28,60,136,None,1
PROJ_1003,Mega_Event_Kumbh,Uttarakhand,Haridwar,0,3,Local Contractor,Donated,Tendering,Procurement,2,2024-12-11,45,78,None,0
PROJ_1003,Mega_Event_Kumbh,Uttarakhand,Haridwar,0,3,Local Contractor,Donated,Ground Prep,Civil,3,2025-03-01,40,70,None,0
PROJ_1003,Mega_Event_Kumbh,Uttarakhand,Haridwar,0,3,Local Contractor,Donated,Temporary Structures,Civil,4,2025-05-14,50,103,Quality Rework,0
PROJ_1003,Mega_Event_Kumbh,Uttarakhand,Haridwar,0,3,Local Contractor,Donated,Electrical Grid,Technical,5,2025-08-30,30,68,None,1
