Project_ID,Project_Type,State,District,LWE_Flag,Vendor_Tier,Vendor_Name,Land_Type,Task_Name,Task_Category,Task_Sequence,Planned_Start_Date,Planned_Duration,Actual_Duration,Delay_Reason,Monsoon_Flag
PROJ_1000,Indus_Factory,Himachal Pradesh,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Feasibility Study,Technical,1,2023-03-14,45,81,None,0
PROJ_1000,Indus_Factory,Himachal Pradesh,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Env Impact Assessment,Regulatory,2,2023-06-06,90,335,CNT Act Land Acquisition,1
PROJ_1000,Indus_Factory,Himachal Pradesh,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Civil Construction,Civil,3,2024-05-07,150,358,Quality Rework,0
PROJ_1000,Indus_Factory,Himachal Pradesh,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Machine Procurement,Procurement,4,2025-05-03,120,253,Supply Chain Issue,0
PROJ_1000,Indus_Factory,Himachal Pradesh,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Installation,Technical,5,2026-01-11,60,109,None,0
PROJ_1000,Indus_Factory,Himachal Pradesh,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Trial Runs,Technical,6,2026-05-01,30,54,None,0
PROJ_1001,NHM - Community Health Centre (CHC),Jharkhand,Dhanbad,0,3,Local Contractor,Donated,Site Survey,Technical,1,2022-10-08,15,25,None,0
PROJ_1001,NHM - Community Health Centre (CHC),Jharkhand,Dhanbad,0,3,Local Contractor,Donated,Civil Works,Civil,2,2022-11-02,90,190,Quality Rework,0
PROJ_1001,NHM - Community Health Centre (CHC),Jharkhand,Dhanbad,0,3,Local Contractor,Donated,Equipment Install,Technical,3,2023-05-13,45,76,None,0
PROJ_1001,NHM - Community Health Centre (CHC),Jharkhand,Dhanbad,0,3,Local Contractor,Donated,Handover,Admin,4,2023-07-31,15,27,None,1
PROJ_1002,Construction_Hospital,Nagaland,Generic_District,0,3,Local Contractor,Donated,Budget & Approval,Admin,1,2024-05-18,30,62,None,0
PROJ_1002,Construction_Hospital,Nagaland,Generic_District,0,3,Local Contractor,Donated,Land Acquisition,Regulatory,2,2024-07-23,60,162,None,1
PROJ_1002,Construction_Hospital,Nagaland,Generic_District,0,3,Local Contractor,Donated,Tendering,Procurement,3,2025-01-06,45,93,None,0
PROJ_1002,Construction_Hospital,Nagaland,Generic_District,0,3,Local Contractor,Donated,Mobilization,Logistics,4,2025-04-10,20,41,None,0
PROJ_1002,Construction_Hospital,Nagaland,Generic_District,0,3,Local Contractor,Donated,Excavation,Civil,5,2025-05-24,40,105,Quality Rework,0
PROJ_1002,Construction_Hospital,Nagaland,Generic_District,0,3,Local Contractor,Donated,Foundation,Civil,6,2025-09-10,60,162,None,1
PROJ_1002,Construction_Hospital,Nagaland,Generic_District,0,3,Local Contractor,Donated,Superstructure,Civil,7,2026-02-24,120,249,None,0
PROJ_1002,Construction_Hospital,Nagaland,Generic_District,0,3,Local Contractor,Donated,MEP Works,Technical,8,2026-11-05,90,187,None,0
PROJ_1002,Construction_Hospital,Nagaland,Generic_District,0,3,Local Contractor,Donated,Finishing,Civil,9,2027-05-14,60,124,None,0
PROJ_1002,Construction_Hospital,Nagaland,Generic_District,0,3,Local Contractor,Donated,Handover,Admin,10,2027-09-15,30,81,None,1
PROJ_1003,NHM - Health Sub-Centre (HSC),Kerala,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Site Identification,Admin,1,2022-01-01,15,28,None,0
PROJ_1003,NHM - Health Sub-Centre (HSC),Kerala,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Land Handover,Regulatory,2,2022-01-29,30,148,CNT Act Land Acquisition,0
PROJ_1003,NHM - Health Sub-Centre (HSC),Kerala,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Plinth Work,Civil,3,2022-06-27,30,109,Quality Rework,1
PROJ_1003,NHM - Health Sub-Centre (HSC),Kerala,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Roof Casting,Civil,4,2022-10-16,30,94,Quality Rework,0
PROJ_1003,NHM - Health Sub-Centre (HSC),Kerala,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Electrical & Plumbing,Technical,5,2023-01-21,20,31,None,0
PROJ_1003,NHM - Health Sub-Centre (HSC),Kerala,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Finishing & Painting,Civil,6,2023-02-24,20,56,Quality Rework,0
PROJ_1003,NHM - Health Sub-Centre (HSC),Kerala,Generic_District,0,3,Local Contractor,Tribal (CNT/SPT),Handover,Admin,7,2023-04-23,10,18,None,0
PROJ_1004,NHM - Diagnostic Lab (IPHL),Jharkhand,East Singhbhum,0,3,Local Contractor,Govt Land,Site Survey,Technical,1,2022-11-08,15,25,None,0
PROJ_1004,NHM - Diagnostic Lab (IPHL),Jharkhand,East Singhbhum,0,3,Local Contractor,Govt Land,Civil Works,Civil,2,2022-12-05,90,152,None,0
PROJ_1004,NHM - Diagnostic Lab (IPHL),Jharkhand,East Singhbhum,0,3,Local Contractor,Govt Land,Equipment Install,Technical,3,2023-05-08,45,76,None,0
PROJ_1004,NHM - Diagnostic Lab (IPHL),Jharkhand,East Singhbhum,0,3,Local Contractor,Govt Land,Handover,Admin,4,2023-07-28,15,27,None,1
PROJ_1005,NHM - Drug Warehouse (District Level),Jharkhand,West Singhbhum,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Land Acquisition,Regulatory,1,2024-11-21,60,224,CNT Act Land Acquisition,0
PROJ_1005,NHM - Drug Warehouse (District Level),Jharkhand,West Singhbhum,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Warehousing Structure,Civil,2,2025-07-07,90,216,None,1
PROJ_1005,NHM - Drug Warehouse (District Level),Jharkhand,West Singhbhum,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),HVAC & Cold Chain Setup,Technical,3,2026-02-09,45,81,None,0
PROJ_1005,NHM - Drug Warehouse (District Level),Jharkhand,West Singhbhum,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Racking System Install,Technical,4,2026-05-05,20,36,None,0
PROJ_1005,NHM - Drug Warehouse (District Level),Jharkhand,West Singhbhum,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Fire & Safety Audit,Regulatory,5,2026-06-13,15,140,CNT Act Land Acquisition,1
PROJ_1005,NHM - Drug Warehouse (District Level),Jharkhand,West Singhbhum,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Stocking,Logistics,6,2026-10-31,30,54,None,0
PROJ_1006,Indus_Factory,Madhya Pradesh,Generic_District,0,3,Local Contractor,Donated,Feasibility Study,Technical,1,2022-04-21,45,64,None,0
PROJ_1006,Indus_Factory,Madhya Pradesh,Generic_District,0,3,Local Contractor,Donated,Env Impact Assessment,Regulatory,2,2022-06-28,90,141,None,1
PROJ_1006,Indus_Factory,Madhya Pradesh,Generic_District,0,3,Local Contractor,Donated,Civil Construction,Civil,3,2022-11-19,150,214,None,0
PROJ_1006,Indus_Factory,Madhya Pradesh,Generic_District,0,3,Local Contractor,Donated,Machine Procurement,Procurement,4,2023-06-22,120,188,None,1
PROJ_1006,Indus_Factory,Madhya Pradesh,Generic_District,0,3,Local Contractor,Donated,Installation,Technical,5,2024-01-01,60,85,None,0
PROJ_1006,Indus_Factory,Madhya Pradesh,Generic_District,0,3,Local Contractor,Donated,Trial Runs,Technical,6,2024-03-29,30,42,None,0
PROJ_1007,Mega_Event_Kumbh,Maharashtra,Nashik,0,2,NCC / Nagarjuna,Donated,Master Planning,Technical,1,2023-02-15,60,60,None,0
PROJ_1007,Mega_Event_Kumbh,Maharashtra,Nashik,0,2,NCC / Nagarjuna,Donated,Tendering,Procurement,2,2023-04-19,45,45,None,0
PROJ_1007,Mega_Event_Kumbh,Maharashtra,Nashik,0,2,NCC / Nagarjuna,Donated,Ground Prep,Civil,3,2023-06-06,40,52,None,1
PROJ_1007,Mega_Event_Kumbh,Maharashtra,Nashik,0,2,NCC / Nagarjuna,Donated,Temporary Structures,Civil,4,2023-07-31,50,65,None,1
PROJ_1007,Mega_Event_Kumbh,Maharashtra,Nashik,0,2,NCC / Nagarjuna,Donated,Electrical Grid,Technical,5,2023-10-08,30,30,None,0
PROJ_1007,Mega_Event_Kumbh,Maharashtra,Nashik,0,2,NCC / Nagarjuna,Donated,Safety Audit,Regulatory,6,2023-11-12,15,15,None,0
PROJ_1008,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Simdega,1,3,Local Contractor,Govt Land,Soil Testing & Design,Technical,1,2022-09-13,30,78,None,1
PROJ_1008,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Simdega,1,3,Local Contractor,Govt Land,Foundation Works,Civil,2,2022-12-04,60,141,None,0
PROJ_1008,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Simdega,1,3,Local Contractor,Govt Land,Structure (G+2),Civil,3,2023-04-27,120,283,None,0
PROJ_1008,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Simdega,1,3,Local Contractor,Govt Land,Medical Gas Pipeline,Technical,4,2024-02-09,45,106,None,0
PROJ_1008,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Simdega,1,3,Local Contractor,Govt Land,OT & ICU Setup,Technical,5,2024-05-26,60,141,None,0
PROJ_1008,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Simdega,1,3,Local Contractor,Govt Land,Fire Safety Install,Technical,6,2024-10-14,30,70,None,0
PROJ_1008,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Simdega,1,3,Local Contractor,Govt Land,Final Inspection,Regulatory,7,2024-12-25,15,35,None,0
PROJ_1009,Linear_Highway,Chhattisgarh,Generic_District,0,3,Local Contractor,Donated,DPR & Survey,Technical,1,2022-03-11,90,152,None,0
PROJ_1009,Linear_Highway,Chhattisgarh,Generic_District,0,3,Local Contractor,Donated,Land Acquisition & ROW,Regulatory,2,2022-08-11,180,334,None,1
PROJ_1009,Linear_Highway,Chhattisgarh,Generic_District,0,3,Local Contractor,Donated,Forest Clearance,Regulatory,3,2023-07-13,120,223,None,1
PROJ_1009,Linear_Highway,Chhattisgarh,Generic_District,0,3,Local Contractor,Donated,Tendering,Procurement,4,2024-02-22,60,101,None,0
PROJ_1009,Linear_Highway,Chhattisgarh,Generic_District,0,3,Local Contractor,Donated,Earthwork,Civil,5,2024-06-05,100,185,None,1
PROJ_1009,Linear_Highway,Chhattisgarh,Generic_District,0,3,Local Contractor,Donated,Pavement Layering,Civil,6,2024-12-12,90,152,None,0
PROJ_1009,Linear_Highway,Chhattisgarh,Generic_District,0,3,Local Contractor,Donated,Signages & Safety,Civil,7,2025-05-18,30,50,None,0
PROJ_1010,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Gumla,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Soil Testing & Design,Technical,1,2023-10-13,30,54,None,0
PROJ_1010,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Gumla,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Foundation Works,Civil,2,2023-12-10,60,131,None,0
PROJ_1010,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Gumla,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Structure (G+2),Civil,3,2024-04-20,120,262,None,0
PROJ_1010,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Gumla,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Medical Gas Pipeline,Technical,4,2025-01-11,45,81,None,0
PROJ_1010,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Gumla,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),OT & ICU Setup,Technical,5,2025-04-07,60,109,None,0
PROJ_1010,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Gumla,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Fire Safety Install,Technical,6,2025-07-27,30,60,None,1
PROJ_1010,NHM - Maternal & Child Health (MCH) Wing,Jharkhand,Gumla,1,2,NCC / Nagarjuna,Tribal (CNT/SPT),Final Inspection,Regulatory,7,2025-09-26,15,154,CNT Act Land Acquisition,1
PROJ_1011,NHM - Diagnostic Lab (IPHL),Jharkhand,Deoghar,0,3,Local Contractor,Tribal (CNT/SPT),Site Survey,Technical,1,2022-08-08,15,27,None,1
PROJ_1011,NHM - Diagnostic Lab (IPHL),Jharkhand,Deoghar,0,3,Local Contractor,Tribal (CNT/SPT),Civil Works,Civil,2,2022-09-08,90,200,None,1
PROJ_1011,NHM - Diagnostic Lab (IPHL),Jharkhand,Deoghar,0,3,Local Contractor,Tribal (CNT/SPT),Equipment Install,Technical,3,2023-03-28,45,76,None,0
PROJ_1011,NHM - Diagnostic Lab (IPHL),Jharkhand,Deoghar,0,3,Local Contractor,Tribal (CNT/SPT),Handover,Admin,4,2023-06-13,15,33,None,1
PROJ_1012,NHM - District Hospital Expansion,Jharkhand,Pakur,0,2,NCC / Nagarjuna,Donated,Site Survey,Technical,1,2022-10-12,15,19,None,0
PROJ_1012,NHM - District Hospital Expansion,Jharkhand,Pakur,0,2,NCC / Nagarjuna,Donated,Civil Works,Civil,2,2022-10-31,90,117,None,0
PROJ_1012,NHM - District Hospital Expansion,Jharkhand,Pakur,0,2,NCC / Nagarjuna,Donated,Equipment Install,Technical,3,2023-03-01,45,58,None,0
PROJ_1012,NHM - District Hospital Expansion,Jharkhand,Pakur,0,2,NCC / Nagarjuna,Donated,Handover,Admin,4,2023-05-01,15,19,None,0
